video_id,title,description,category,sub_category,tags
-EiAN6oa_oY,repair scratch car save hundreds dollars,repair scratch car save hundreds dollars repair scratch jeep cherokee cheap note comment suggest use higher grit sand paper paint dry right buff make shinier smoother also use wax buff compound polish thank watch good luck project get materials sandpaper blue painters tape plastic spreaders body filler compound polish microfiber towel sponge wax respiratormask goggle camera equipment camera lens light sd card please like comment share video please subscribe channel follow instagram instagramcomthomasofalltrades wax use video comment suggest use wax use compound polish amazon link affiliate link,Howto & Style,How to Fix/Repair,"How to,how to repair scratches on your car,how to repair scratches,how to repair scratches on car,repair,chrisfix,mad4motors,autoblog,ratchets and wrenches,crazyrussianhacker,nigahiga,ammonyc,how to fix scratch,how to repair deep scratches,how to paint your car,how to paint scratches,how to remove scratches,jeep,jeep cherokee"
-fByZlRRsuM,stay healthy winter dont want sniffle,vitamin day keep doctor away hello everyone sick suck decide put lil list stuff together help guy stay healthy feel like mom anyways hope youre great day love u much xx l k e instagram twitter snapchat pinterest spotify dote httpsdoteapplinkqadvrlglkp f q old live canada whats thing arm continuous glucose monitor type diabetes edit software final cut pro camera canon b u n e n q u r e sadiealdisgmailcom woah u make way ily,Howto & Style,Health,"how to be healthy for teenagers,how to be healthy and fit,how to be healthy,how to stay healthy,my fitness routine,how to not get sick,health tips,teen workout routine,how to be healthy in high school,how to be healthy in winter,healthy,tips,avoid getting sick,sadie aldis"
17XNEi1fJxM,common men hair problems fix,check old spice new dry shampoo httpbitlyosdryshampootmfed check best groom line men hudson mane httpshudsonandmanecomtmf want tshirts fit perfectly check esntls sell best ts world httpswwwesntlsco pick one let know think subscribe channel thank old spice sponsor video follow us social media website httpteachingmensfashioncom snapchat joseczuniga instagram email infoteachingmensfashioncom facebook twitter address sw village center dr port st lucie fl music httpssoundcloudcomlakeyinspired httpssoundcloudcomdyallas,Howto & Style,How to Fix/Repair,"TMF,Teachign mens fashion,Jose Zuniga,Mens Wear,Mens fashion,mens style,Style tips,menswear,mens fashion,GQ,Men's Style Tips,Men's Lifestyle,suits,reviews,men's Clothing,ESNTLS"
1gSBnMehzao,funny summer prank best diy prank war,prank girlfriend boyfriend summer friends love prank best diy hack ideas prank friends family instagram httpswwwinstagramcommaryanazdep mr degree present super cool videos video create entertainment purpose music httpsplayerepidemicsoundcom prank funny diy,Howto & Style,DIY,"prank,diy,life hacks,hacks,pranks,girls,summer,tricks,friends,funny"
2afHjjI2b3w,fix leaky hose spigot ask old house,ask old house plumb heat expert richard trethewey explain common failure point hose spigots repair thisoldhouse asktoh subscribe old house httpbitlysubscribethisoldhouse time hour cost skill level moderate tool wrench philips head screwdriver reseat tool shop list washer repair kit teflon tape step fix leaky hose spigot richard explain circumstances leaky hose spigot leak one two place bonnet spout leak bonnet start tighten bonnet wrench b work shut water fully remove shutoff bonnet check washer underneath bonnet wear replace washer replacement kit buy home center even pack thread connection tightly teflon tape trick leak spout process little involve turn water remove stem unit b loosen screw bottom stem unit screwdriver go hard loosen important use right size screwdriver enough force prevent strip c replace washer stem unit put screw back place take reseat tool push open stem unit twist around smooth seat stem unit rest e reinstall stem unit turn water back resources spare washer kit teflon tape spigot repair tool find home center plumb supply house ask old house tv homeowners virtual truckload question us smaller project ready answer ask old house solve steady stream home improvement problems face make house call ask old house feature familiar face old house include kevin oconnor general contractor tom silva plumb heat expert richard trethewey landscape contractor jenn nawada follow old house ask old house facebook httpbitlythisoldhousefb twitter httpbitlythisoldhousetwitter httpbitlyasktohtwitter pinterest httpbitlythisoldhousepinterest instagram httpbitlythisoldhouseig tumblr httpbitlythisoldhousetumblr keywords old house ask old house diy home improvement diy ideas renovation renovation ideas fix install build watch full episode fix leaky hose spigot ask old house httpswwwyoutubecomuserthisoldhouse,Howto & Style,How to Fix/Repair,"This Old House,Richard Trethewey,Kevin O’Connor,plumbing,yard,hose,spigot,leaks,DIY,Construction,Home Improvement,Ask This Old House,Building,4-6 minutes,DIY Ideas,Renovation,Renovation Ideas,How To Fix,How To Install,How To Build,Fix a Leaky Hose Spigot,How to Fix a Leaky Hose Spigot,leaky hose spigot,fix leaky hose to spigot connection,leaky spigot hose connection,richard leaky hose spigot,to fix leaky hose spigot,hose spigots,Richaed Ask this old house"
3t678W5zfMA,fix crack iphone screen,today show easily fix crack smartphone tablet screen free technique work smartphones tablets iphones dont spend hundreds dollars get screen professionally fix repair home free method incredibly easy simply follow step step instructions video youll able replace crack screen matter badly damage less minute show everyone easy replace crack smartphonetablet screen share tweet eggbook httpbitlyfreecrackedscreenfix click eggscribe video suggestion post comment section contact facebook page tweet connect facebook twitter instagram channel tshirts eggy merchandise know someone crack smartphone tablet screen link video howtobasic howtobasic basic,Howto & Style,How to Fix/Repair,"how to fix a cracked iphone screen,how to fix a cracked phone screen,how to fix a cracked ipad screen,how to replace a cracked screen,how to replace a cracked iphone screen,how to replace a cracked phone screen,how to fix a cracked smartphone screen,how to fix a broken iphone,how to fix a broken smartphone,how to fix a cracked samsung galaxy screen,how to fix a cracked samsung screen,how to fix a cracked iphone 5c screen,cracked tablet fix,fix cracked samsung tablet"
45CDGcTIhD4,fantastic food hack diy square fruit,delicious diy ideas fruit get ready summer video show use fruit create amaze dish decorate foods also create sort craft use piece wood create square oranges simply squeeze piece wood instead serve fruit cut cub show creative cut ways cut pineapple strip guests enjoy exotic look pineapples also show superfast way remove corn peel hand fast cut pomegranate always cut edge first able see inside cut x mark white part visible make peel lot less messy peel nectarine simply cut little x bottom knife place pan fill boil water transfer icecold water voila difference temperature peel skin right timestamps easy way break coconut brilliant trick corn easy way peel nectarine adorable fruit décor ideas brilliant fruit veggie cut trick dental floss vs watermelon tasty jell shots lime cool fruit cut ideas video make entertainment purpose make warranties completeness safety reliability action take upon information video strictly risk liable damage losses viewers responsibility use judgment care precautions one plan replicate follow video might feature activity perform actors within control environment please use judgment care precaution plan replicate social media facebook instagram twitter subscribe craft girly httpsgooglfwbjqz subscribe craft kid httpsgooglpeulvt subscribe craft men bright side youtube httpsgooglrqtjzz videos article visit httpwwwbrightsideme music epidemic sound httpswwwepidemicsoundcom,Howto & Style,DIY,"proyectos faciles,trucos de belliza,howto,tutorial,handcraft,tips,5 minute craft,useful things,life hacks,crafts,diy,5-minute crafts,tricks,do it yourself,diy projects,trucos,diy activities,5 minutes craft,lifehacks,fruit,fruit hacks,square orange,cook,cooking,food,food hacks,kitchen hacks,cooking hacks"
4gFckwlVKxM,workout stay healthy get fit,workout stay healthy get fit video bring along workout routine eat show stay healthy also talk body confidence little bite ive become comfortable skin comment anything youve struggle overcome tip stay motivate xoxo shop merch httpsavajulescom vlog channel fabletics leggings fabletics sport bra smoothie cup similar cross necklace httpsgomagiklymltprc pink crop top httpsgomagiklymltprh dainty necklace httpsgomagiklymltpri scrunchies httpsgomagiklymltprx hand weight httpsgomagiklymltprq backpack httpsgomagiklymltpru sneakers httpsgomagiklymltprr socials instagram httpswwwinstagramcomavajuleshlen twitter snapchat avajulesx spotify avajules subscribe help translate video language aloha ava jules welcome youtube channel post beauty lifestyle videos vlogs im currently online college live oahu hawaii subscribe want become part ohana see soon,Howto & Style,Health,"ava jules,how I workout,stay healthy,workout,healthy,lets get fit,what I eat,body confidence,workout routine,ava jules workout,fit,how I workout & stay healthy! GET FIT WITH M,get fit with me"
4gUW-IhSMBc,repair squeaky floor carpet old house,old house general contractor tom silva silence carpet squeaky floor see shop list tool subscribe old house httpbitlysubscribethisoldhouse shop list repair squeaky floor carpet squeeeeek floor repair kit info available wwwsqueaknomorecom tool repair squeaky floor carpet drilldriver use drive specialty screw carpet joists hammer use locate floor joists old house tv old house multimedia home enthusiast brand offer trust information expert advice awardwinning television highly regard magazine informationdriven website old house ask old house produce old house venture llc present pbs weta washington dc follow old house ask old house facebook httpbitlythisoldhousefb twitter httpbitlythisoldhousetwitter httpbitlyasktohtwitter pinterest httpbitlythisoldhousepinterest instagram httpbitlythisoldhouseig httpbitlyasktohig tumblr httpbitlythisoldhousetumblr old house ask old house visit us httpbitlythisoldhousewebsite repair squeaky floor carpet old house httpswwwyoutubecomuserthisoldhouse,Howto & Style,How to Fix/Repair,"This Old House,Ask This Old House,DIY,Home Improvement,DIY Ideas,Renovation,Renovation Ideas,How To Fix,How To Install,How To Build,Episode,TV Show,Tom Silva,noise,squeaky floor,noisy floor,carpeting,repair,Do It Yourself home,Fire,house,video,tom silva this old house,tom silva house,tom silva construction,tom silva tools,tommy silva,home renovation ideas on a budget"
4gccla3VETM,morning habit help stay fit healthy,stay fit healthy dear friends promise brilliant hack make mornings whole lot easier ill teach wake minutes simply keep positive habit start day pleasant memories stretch body inhale exhale deeply massage back head temples eyebrows earlobes rub palm improve blood circulation drink glass water create atmosphere use bright color kitchen curtain colorful dish spray citrus essential oil turn favorite music radio station voila many great tip wait video timestamps positive habit start day happen cup coffee benefit hot cold shower morning workout give energy whole day ears reveal lot health better dont skip breakfast thats brush teeth correctly reason bad breath social media facebook instagram twitter subscribe magic subscribe craft girly httpsgooglfwbjqz subscribe craft kid httpsgooglpeulvt bright side youtube httpsgooglrqtjzz videos article visit httpwwwbrightsideme video make entertainment purpose make warranties completeness safety reliability action take upon information video strictly risk liable damage losses viewers responsibility use judgment care precautions one plan replicate follow video might feature activity perform actors within control environment please use judgment care precaution plan replicate,Howto & Style,Health,"5-Minute Crafts,DIY,Do it yourself,crafts,trucos,trucos de belliza,proyectos faciles,useful things,lifehacks,tricks,tips,DIY projects,DIY activities,Handcraft,Tutorial,fit and healthy,wake up in 5 minutes,morning routine,cold and hot showers,watch sunrises,watch sunsets,positive effect,yoga,fight depression,not to skip breakfast,healthy diet,eating,healthy meals,vitamins,coffee,bad breath,warning signs,saliva,tongue color,ear wax,see a doctor"
